gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
9-Sep,0.905071288,0.876816256,0.933326321,0.824276766,0.926850752,0.86528003,0.917595803,0.940891971,0.955532407
VASH2,0.904827666,0.879789267,0.929866064,0.903429041,0.927743131,0.932641372,0.933911061,0.803297389,0.927944001
NKAIN4,0.90475856,0.888672109,0.920845011,0.953246154,0.861130979,0.951693483,0.92827245,0.76107669,0.973131604
DSC1,0.904485418,0.866741314,0.942229521,0.991703934,0.864238357,0.991604178,0.965336355,0.616915831,0.997113851
TBC1D4,0.903637715,0.927715986,0.879559443,0.928678941,0.883351543,0.920011672,0.886213261,0.934457346,0.869113525
STBD1,0.903374865,0.895094746,0.911654983,0.96623077,0.862672114,0.952826091,0.914759872,0.766227377,0.957532964
DESI2,0.903340821,0.880806285,0.925875357,0.853290264,0.857355845,0.946802706,0.932232168,0.842325884,0.988038057
TOR3A,0.903198085,0.878851874,0.927544297,0.779767099,0.863432841,0.914644508,0.932747915,0.942144016,0.986452134
SLC16A8,0.903171506,0.93258844,0.873754572,0.88856534,0.857032146,0.9777679,0.841518333,0.931432081,0.922713238
ADAMTS18,0.903114729,0.846937524,0.959291933,0.671481213,0.936873893,0.892575275,0.953854871,0.976756085,0.987147035
CD109,0.90294451,0.928266569,0.87762245,0.944274188,0.936979757,0.935634742,0.886713401,0.904890777,0.809174194
RPS6KA5,0.902421524,0.914636364,0.890206683,0.893937934,0.946704986,0.939255831,0.946650018,0.910715328,0.777265047
CRHR1,0.901769375,0.816591454,0.986947297,0.653168113,0.976686188,0.891836942,0.991163757,0.904769305,0.992991945
PLEKHH1,0.901454272,0.868802267,0.934106276,0.752622507,0.923507217,0.918546543,0.948517566,0.935237753,0.930294044
ST6GALNAC2,0.900796694,0.826145445,0.975447942,0.788048915,0.978603275,0.721651206,0.983778392,0.968736216,0.96396216
BCL2L15,0.900357291,0.883664158,0.917050423,0.870455147,0.867186259,0.907398259,0.940727068,0.873139069,0.943237943
SLC6A12,0.90021874,0.884037622,0.916399858,0.803518618,0.860852069,0.970949857,0.929466134,0.877644392,0.958881371
BEND7,0.900100096,0.840575511,0.959624681,0.760159882,0.963591637,0.839592424,0.973612742,0.921974226,0.941669664
KCNMB4,0.899639882,0.847588542,0.951691221,0.930182751,0.968327011,0.746743667,0.977419092,0.865839209,0.909327561
CTXN3,0.899516826,0.904105167,0.894928485,0.910589106,0.938455744,0.904153801,0.950577162,0.897572595,0.79575255
LCN12,0.899169489,0.941941336,0.856397641,0.956058334,0.870005904,0.957399277,0.878768857,0.912366398,0.820418162
ARHGAP1,0.89907403,0.917351502,0.880796558,0.841641841,0.841894285,0.934272084,0.894596869,0.976140582,0.90589852
AQP1,0.898741509,0.920364099,0.877118918,0.832572832,0.846814243,0.950132669,0.839012887,0.978386797,0.945529625
CFAP57,0.898425614,0.871203885,0.925647342,0.793281713,0.927133735,0.907904505,0.928275843,0.912425437,0.921532448
PDE11A,0.898376753,0.867637764,0.929115742,0.867354556,0.932925712,0.935079635,0.952750765,0.800479102,0.90167075
GPR27,0.897889508,0.872519493,0.923259523,0.845430547,0.912210995,0.946460684,0.924742296,0.825667248,0.932825277
DTNA,0.897835784,0.862020191,0.933651377,0.870763917,0.938905666,0.82652841,0.943401489,0.888768246,0.918646978
SLC4A11,0.897798687,0.82157407,0.974023304,0.876354346,0.973293114,0.720381517,0.979220814,0.867986346,0.969555982
CD22,0.897694067,0.881984134,0.913404,0.792049349,0.920356408,0.912825141,0.927220597,0.941077912,0.892634993
PCDHGA2,0.89765188,0.963368599,0.831935161,0.918594724,0.794368176,0.974738564,0.758743613,0.996772508,0.942693694
HS3ST3B1,0.897420133,0.880739102,0.914101163,0.800375953,0.862172653,0.961526612,0.9012249,0.880314742,0.978905937
C2orf73,0.897019411,0.905056133,0.888982689,0.945426475,0.956026439,0.960548049,0.936636378,0.809193873,0.774285249
TMC1,0.896938316,0.882997306,0.910879326,0.820078855,0.864400546,0.929310731,0.913650337,0.899602332,0.954587097
GATSL3,0.896923839,0.902749295,0.891098383,0.961099085,0.85193982,0.959312292,0.865814779,0.787836508,0.955540551
SCIN,0.896513843,0.85841652,0.934611165,0.79322471,0.93863897,0.887859581,0.943323448,0.89416527,0.921871077
CCDC80,0.896450958,0.950907647,0.841994268,0.92203598,0.837331958,0.984486187,0.860352608,0.946200775,0.828298238
PLEKHB1,0.896419968,0.86383345,0.929006485,0.85209658,0.943390631,0.895662973,0.955776709,0.843740796,0.887852116
CLEC18B,0.895360876,0.924861506,0.865860246,0.919778907,0.875820276,0.920248509,0.84708501,0.934557102,0.874675452
CDRT4,0.895066244,0.874269188,0.9158633,0.873318223,0.805439098,0.935706676,0.953506063,0.813782667,0.988644738
PLA1A,0.894879399,0.860735121,0.929023677,0.904881276,0.94093676,0.834498741,0.94538508,0.842825345,0.900749191
KIF4A,0.89472999,0.913425489,0.876034492,0.912627664,0.860970148,0.905667791,0.905872054,0.921981012,0.861261273
