,gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
1916,DEPDC7,0.7296102353209962,0.7934546493031759,0.6657658213388168,0.6199191226867717,0.7146264564770393,0.8427923235092531,0.7343749143248806,0.9176525017135028,0.5482960932145304
1917,DCK,0.7295835046835731,0.7511142334932601,0.7080527758738863,0.7378176833447567,0.5982762165867033,0.7986854009595609,0.6380925291295408,0.7168396161754625,0.8877895819054146
1918,FCHO2,0.729534270047978,0.7515051405071967,0.7075633995887592,0.7345784784098701,0.7972193283070592,0.897518848526388,0.7198279643591498,0.6224180945853321,0.6056429061000688
1919,GTF3C4,0.7295049120402103,0.5847034498514967,0.8743063742289238,0.6326312542837563,0.7904647018505824,0.4305387251542153,0.8863865661411926,0.6909403701165183,0.9460678546949964
1920,DDX3X,0.7294167237834133,0.5909520219328307,0.8678814256339958,0.510454420836189,0.8066463331048663,0.4648896504455106,0.8783708019191226,0.7975119945167922,0.9186271418779984
1921,GCNT1,0.7294043865661411,0.6866433630340416,0.7721654100982408,0.6487443454420838,0.8301343385880742,0.6018087731322822,0.805771761480466,0.809376970527759,0.6805901302261822
1922,MYCN,0.7293115147361205,0.6037927804432262,0.8548302490290153,0.7656504455106239,0.7593289924605893,0.5287847840986979,0.8755976696367374,0.5169431117203563,0.9295640849897191
1923,ZBTB2,0.7293031756911126,0.6575940141649531,0.8010123372172719,0.7809362577107606,0.7187388622344071,0.7084084989718987,0.8480191912268676,0.4834372858122002,0.8362789581905414
1924,CNIH3,0.7292232122458303,0.7635921864290608,0.6948542380625998,0.7861453050034268,0.5940829335161071,0.8272529129540784,0.6241473612063054,0.6773783413296777,0.8663324194653871
1925,SART1,0.7292061914553346,0.5856234864062142,0.8727888965044549,0.5930733379026729,0.8270986977381767,0.5801281699794378,0.8909335161069226,0.5836689513365318,0.9003344756682654
1926,LY86,0.7291827735892163,0.7476550148503539,0.7107105323280787,0.6856504455106234,0.7688519533927347,0.7934201507882109,0.7419287183002059,0.7638944482522273,0.6213509252912953
1927,ATRX,0.7291334247201279,0.7886557002513137,0.6696111491889423,0.7412693625771074,0.6353673749143248,0.8273180260452365,0.6453947909527074,0.7973797121315971,0.7280712816997945
1928,H2AFJ,0.7291023532099613,0.6903477267534842,0.7678569796664383,0.8036230294722418,0.7936620973269362,0.7992104180945853,0.7239225496915696,0.4682097326936256,0.7859862919808092
1929,B4GALNT1,0.7290392963216813,0.7271409641306831,0.7309376285126801,0.5539917751884853,0.7613159698423578,0.8597217272104178,0.7542912954078136,0.7677093899931461,0.6772056202878683
1930,ST7,0.729005711674663,0.6191032670779073,0.8389081562714186,0.6503721727210419,0.8024667580534611,0.4131651816312544,0.8675325565455791,0.7937724468814257,0.8467251542152157
1931,ABHD14A,0.7289936029243774,0.6096984235777929,0.8482887822709616,0.6221830020562029,0.8620555174777238,0.7484420836189173,0.8792679917751886,0.4584701850582589,0.8035428375599726
1932,TMEM63A,0.7289666438199681,0.7770776787754169,0.680855608864519,0.6608087731322823,0.746348183687457,0.8038005483207676,0.6971240575736803,0.866623714873201,0.5990945853324195
1933,SCNN1D,0.7289588759424261,0.7784231208590358,0.6794946310258165,0.8345860178204252,0.7947272104180945,0.7398176833447566,0.6594784098697738,0.7608656614119256,0.5842782727895817
1934,FAM133B,0.7289243774274617,0.8420792780443226,0.6157694768106008,0.8278135709389991,0.5946593557230979,0.8970747087045923,0.5690411240575738,0.8013495544893762,0.6836079506511308
1935,CASQ1,0.7287257253826822,0.6265387251542153,0.8309127256111491,0.6694194653872517,0.8894914324880054,0.6462275531185739,0.8883447566826591,0.5639691569568198,0.7149019876627831
1936,CGREF1,0.7284867489147818,0.7485515193054604,0.7084219785241034,0.6405935572309802,0.6297546264564771,0.7925318711446192,0.6911055517477724,0.8125291295407817,0.8044057573680603
1937,CDH20,0.728474183230523,0.8012695910440941,0.6556787754169521,0.7564886908841667,0.532012337217272,0.8250877313228241,0.6566833447566824,0.8222323509252912,0.778340644276902
1938,SYT4,0.7282634224354578,0.7071871144619601,0.7493397304089559,0.7461076079506508,0.6590911583276217,0.7840466072652498,0.7539252912954076,0.5914071281699795,0.8350027416038381
1939,C3,0.7282031071510168,0.7098147132739321,0.7465915010281016,0.7311740918437286,0.8428985606579853,0.7204468814256342,0.8243365318711448,0.6778231665524332,0.5725394105551748
1940,SLC37A1,0.7282019648160842,0.6632394334018735,0.7931644962302947,0.7720191912268679,0.8327148732008226,0.7075867032213847,0.8260137080191913,0.5101124057573679,0.7207649074708705
1941,SLC35F6,0.7282008224811515,0.7587879826365089,0.6976136623257938,0.7066634681288555,0.6429348869088416,0.7976065798492116,0.6694119259766963,0.7720938999314597,0.7804941740918436
1942,AMER3,0.7280985835046835,0.6718759424263193,0.7843212245830479,0.6703125428375601,0.7453358464701851,0.8105853324194652,0.8230952707333787,0.5347299520219329,0.7845325565455795
